"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.054155790E-1,1.044803524E1,1.579770207E0,9.273757935E-1,1.060740968E1
5.104155790E-1,1.109366131E1,1.476949453E0,1.704400063E0,1.132058658E1
5.154155790E-1,1.207484818E1,1.394007683E0,3.613631725E0,1.268083397E1
5.204155790E-1,1.314701271E1,1.148084641E0,6.207865715E0,1.458422567E1
5.254155790E-1,1.409090614E1,1.342434287E0,8.817896843E0,1.667666245E1
5.304155790E-1,1.501637840E1,1.545475245E0,1.334934044E1,2.015155091E1
5.354155790E-1,1.600070572E1,1.395566225E0,2.008560562E1,2.571773205E1
5.404155790E-1,1.687042809E1,8.357074857E-1,2.876696777E1,3.335937928E1
5.454155790E-1,1.710659409E1,-1.557927728E-1,3.556394958E1,3.946459607E1
5.504155790E-1,1.697665215E1,-8.023736477E-1,3.642254257E1,4.019268751E1
5.554155790E-1,1.779451942E1,-9.846872091E-1,3.460846329E1,3.892762851E1
5.604155790E-1,1.952264023E1,-1.017406106E0,3.396817017E1,3.919190198E1
5.654155790E-1,2.083786201E1,-1.261768103E0,3.422451019E1,4.008897168E1
5.704155790E-1,2.059670067E1,-1.762270093E0,3.459838104E1,4.030356864E1
5.754155790E-1,1.869723320E1,-2.349629641E0,3.449798584E1,3.930926501E1
5.804155790E-1,1.622159958E1,-2.583069086E0,3.327960587E1,3.711259497E1
5.854155790E-1,1.416634369E1,-2.700986862E0,3.099316406E1,3.418416069E1
5.904155790E-1,1.266285896E1,-3.047134399E0,2.845135498E1,3.129077540E1
5.954155790E-1,1.141598511E1,-3.562693596E0,2.642331314E1,2.900360286E1
6.004155790E-1,9.793393135E0,-3.960417747E0,2.493542480E1,2.708082104E1
6.054155790E-1,7.412567139E0,-4.141567707E0,2.460106659E1,2.602520340E1
6.104155790E-1,5.037137032E0,-4.545688152E0,2.458202744E1,2.550121768E1
6.154155790E-1,3.082290649E0,-4.990528107E0,2.478792381E1,2.547247639E1
6.204155790E-1,9.924535751E-1,-5.455920219E0,2.534176636E1,2.594141769E1
6.254155790E-1,-1.462772369E0,-5.590689659E0,2.503247261E1,2.569085827E1
6.304155790E-1,-3.217964172E0,-5.759526730E0,2.402591705E1,2.491529915E1
6.354155790E-1,-4.565251827E0,-5.988377571E0,2.288235474E1,2.408950702E1
6.404155790E-1,-6.115234852E0,-6.139946461E0,2.186858559E1,2.352296910E1
6.454155790E-1,-7.964172840E0,-6.261754990E0,2.099883080E1,2.331498487E1
6.504155790E-1,-9.775375366E0,-6.436563969E0,2.015241241E1,2.330465716E1
6.554155790E-1,-1.147001648E1,-6.556383133E0,1.945168495E1,2.351415500E1
6.604155790E-1,-1.310344696E1,-6.630018234E0,1.890765572E1,2.394069566E1
6.654155790E-1,-1.463729477E1,-6.623737335E0,1.862046432E1,2.459361678E1
6.704155790E-1,-1.609633636E1,-6.493880272E0,1.869853592E1,2.551269823E1
6.754155790E-1,-1.771763420E1,-6.232980728E0,1.894191551E1,2.667509651E1
6.804155790E-1,-1.913327980E1,-6.073503494E0,1.915168571E1,2.774449326E1
6.854155790E-1,-2.027797127E1,-5.864146233E0,1.970618820E1,2.887764158E1
6.904155790E-1,-2.120288086E1,-5.607153893E0,2.057598114E1,3.007280052E1
6.954155790E-1,-2.210801888E1,-5.314244270E0,2.144861794E1,3.125778146E1
