"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
5.277414770E-1,-1.651326895E0,2.504301071E-1,-1.394391537E0,2.175758146E0
5.327414770E-1,-1.580039859E0,1.139545441E-1,-1.289828777E0,2.042833784E0
5.377414770E-1,-1.451305389E0,-4.201126099E-2,-1.077892303E0,1.808287615E0
5.427414770E-1,-1.234510899E0,-2.349412441E-1,-8.244476318E-1,1.502973202E0
5.477414770E-1,-9.462980032E-1,-5.197582245E-1,-5.479564667E-1,1.210737301E0
5.527414770E-1,-6.115927100E-1,-8.418581486E-1,-1.800413132E-1,1.056023513E0
5.577414770E-1,-2.979672551E-1,-1.107669115E0,2.012176514E-1,1.164561676E0
5.627414770E-1,-3.320419788E-2,-1.177304506E0,5.853557587E-1,1.315214729E0
5.677414770E-1,2.291274667E-1,-1.124843359E0,9.751176834E-1,1.506196028E0
5.727414770E-1,4.595870078E-1,-9.820721149E-1,1.321488380E0,1.709390943E0
5.777414770E-1,6.003066301E-1,-7.615613937E-1,1.775696754E0,2.023225833E0
5.827414770E-1,5.693534613E-1,-3.469794989E-1,2.296496391E0,2.391328880E0
5.877414770E-1,2.685790956E-1,1.788365841E-1,2.630982399E0,2.650695312E0
5.927414770E-1,-1.087993979E-1,5.271131992E-1,2.796897888E0,2.848214077E0
5.977414770E-1,-3.948047161E-1,6.828763485E-1,2.806985855E0,2.915709255E0
6.027414770E-1,-5.432622433E-1,7.177426815E-1,2.639064789E0,2.788359981E0
6.077414770E-1,-4.904785752E-1,5.624768734E-1,2.266087532E0,2.385812685E0
6.127414770E-1,-2.080600858E-1,2.969536781E-1,1.370880127E0,1.418020736E0
6.177414770E-1,1.841151714E-2,5.236992836E-1,1.344101906E0,1.442639892E0
6.227414770E-1,1.469326615E-1,8.130455017E-1,1.625277519E0,1.823227690E0
6.277414770E-1,2.084417939E-1,1.050452232E0,1.951696396E0,2.226211287E0
6.327414770E-1,2.232603431E-1,1.165240288E0,2.036934853E0,2.357272513E0
6.377414770E-1,2.228298783E-1,1.200275421E0,2.011315346E0,2.352807612E0
6.427414770E-1,2.065259814E-1,1.204213142E0,1.977297783E0,2.324325450E0
6.477414770E-1,1.535387039E-1,1.229540110E0,1.948554039E0,2.309156958E0
6.527414770E-1,7.961404324E-2,1.240197897E0,1.874072075E0,2.248683028E0
6.577414770E-1,1.053804159E-2,1.215584278E0,1.724440575E0,2.109846317E0
6.627414770E-1,-7.728153467E-2,1.235970736E0,1.525587082E0,1.964945811E0
6.677414770E-1,-2.048522830E-1,1.282710075E0,1.292716980E0,1.832601098E0
6.727414770E-1,-2.935746312E-1,1.313131571E0,9.645185471E-1,1.655535144E0
6.777414770E-1,-3.147516251E-1,1.325389147E0,6.127815247E-1,1.493728949E0
6.827414770E-1,-2.926254869E-1,1.332881212E0,2.936210632E-1,1.395856486E0
6.877414770E-1,-2.299835086E-1,1.345751762E0,5.645847321E-2,1.366428842E0
6.927414770E-1,-1.214585304E-1,1.501416445E0,-4.334259033E-2,1.506944623E0
6.977414770E-1,-1.706351042E-1,1.589828253E0,-8.610630035E-2,1.601275900E0
7.027414770E-1,-1.659407020E-1,1.532764912E0,-1.036033630E-1,1.545198449E0
7.077414770E-1,-5.360376835E-2,1.326681137E0,2.132797241E-2,1.327934895E0
7.127414770E-1,1.604697704E-1,1.130938292E0,-1.995086670E-3,1.142267896E0
7.177414770E-1,3.093361855E-1,1.058118820E0,-1.014490128E-1,1.107066491E0
7.227414770E-1,3.720324934E-1,1.083373070E0,-2.070713043E-1,1.164037761E0
7.277414770E-1,4.398098588E-1,1.104349136E0,-3.295974731E-1,1.233553493E0
7.327414770E-1,5.284361243E-1,1.077079535E0,-4.607086182E-1,1.285144930E0
7.377414770E-1,6.193078160E-1,1.064981699E0,-6.758270264E-1,1.405158482E0
7.427414770E-1,6.625368595E-1,1.090987444E0,-9.365062714E-1,1.583114869E0
7.477414770E-1,6.891418099E-1,1.122075796E0,-1.200931549E0,1.782191660E0
7.527414770E-1,7.146686316E-1,1.138945818E0,-1.465473652E0,1.988859435E0
7.577414770E-1,7.675321102E-1,1.146011353E0,-1.762526989E0,2.238068128E0
7.627414770E-1,7.903966904E-1,1.080974579E0,-2.034781456E0,2.435891734E0
7.677414770E-1,8.083009720E-1,9.536817074E-1,-2.191990376E0,2.523426454E0
7.727414770E-1,8.056799173E-1,7.400312424E-1,-2.291490078E0,2.539230818E0
7.777414770E-1,8.051697016E-1,5.039753914E-1,-2.316144466E0,2.503360668E0
7.827414770E-1,7.860160470E-1,2.836275101E-1,-2.274188042E0,2.422848951E0
7.877414770E-1,7.665390968E-1,8.943915367E-2,-2.185999870E0,2.318227120E0
7.927414770E-1,7.299256325E-1,-3.166341782E-2,-2.069816589E0,2.194979434E0
7.977414770E-1,6.606649160E-1,-6.062841415E-2,-1.991579056E0,2.099176284E0
8.027414770E-1,5.317276716E-1,4.830837250E-3,-1.919257641E0,1.991559074E0
8.077414770E-1,3.671452403E-1,1.542153358E-1,-1.850401402E0,1.892766056E0
8.127414770E-1,1.875928044E-1,3.226547241E-1,-1.785617352E0,1.824205706E0
8.177414770E-1,3.800457716E-2,4.860339165E-1,-1.625946522E0,1.697461460E0
8.227414770E-1,-8.372876048E-2,6.026577950E-1,-1.373806477E0,1.502514944E0
8.277414770E-1,-2.340672612E-1,6.970806122E-1,-1.009050369E0,1.248555770E0
8.327414770E-1,-3.998647928E-1,7.973179817E-1,-6.123723984E-1,1.081946288E0
8.377414770E-1,-5.410065651E-1,8.660507202E-1,-3.058347702E-1,1.065958189E0
8.427414770E-1,-6.248745918E-1,9.189691544E-1,-2.830410004E-2,1.111653581E0
8.477414770E-1,-6.687024832E-1,9.521808624E-1,1.678075790E-1,1.175572537E0
8.527414770E-1,-6.843484640E-1,9.538264275E-1,3.857631683E-1,1.235690453E0
8.577414770E-1,-6.590423584E-1,8.946156502E-1,6.754102707E-1,1.300328045E0
8.627414770E-1,-5.049479008E-1,7.729997635E-1,8.411598206E-1,1.249019960E0
8.677414770E-1,-2.699411511E-1,5.930280685E-1,8.437538147E-1,1.066053946E0
8.727414770E-1,-1.258615851E-1,4.819440842E-1,7.891988754E-1,9.332449324E-1
8.777414770E-1,-7.220888138E-2,4.181909561E-1,6.479091644E-1,7.745218420E-1
8.827414770E-1,-5.221480131E-2,3.919658661E-1,4.742927551E-1,6.175089013E-1
