"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
6.609221960E-1,-1.576760173E0,-3.070411682E-1,1.241593361E0,2.030271163E0
6.659221960E-1,-1.334974766E0,-5.185656548E-1,1.095921516E0,1.803361288E0
6.709221960E-1,-1.059953928E0,-6.320142746E-1,1.004167557E0,1.591004983E0
6.759221960E-1,-7.041875124E-1,-7.072110176E-1,9.755764008E-1,1.395627740E0
6.809221960E-1,-5.349838734E-1,-6.940162182E-1,8.631792068E-1,1.230018130E0
6.859221960E-1,-4.890914261E-1,-5.959358215E-1,7.227573395E-1,1.056753566E0
6.909221960E-1,-4.113700390E-1,-5.255274773E-1,5.016708374E-1,8.349120118E-1
6.959221960E-1,-3.464315236E-1,-4.862108231E-1,2.879047394E-1,6.628008026E-1
7.009221960E-1,-3.183071911E-1,-4.755754471E-1,8.599472046E-2,5.786938446E-1
7.059221960E-1,-3.240049779E-1,-4.601383209E-1,-6.912136078E-2,5.669958224E-1
7.109221960E-1,-3.378241956E-1,-4.702014923E-1,-2.033243179E-1,6.136411075E-1
7.159221960E-1,-3.519903421E-1,-5.168929100E-1,-2.950401306E-1,6.914652269E-1
7.209221960E-1,-4.117072523E-1,-5.734341145E-1,-3.597831726E-1,7.923215739E-1
7.259221960E-1,-5.018897057E-1,-6.085946560E-1,-3.505353928E-1,8.632240691E-1
7.309221960E-1,-6.326582432E-1,-6.010539532E-1,-1.642799377E-1,8.879809712E-1
7.359221960E-1,-7.441227436E-1,-5.677888393E-1,9.960651398E-2,9.412886280E-1
7.409221960E-1,-8.464716673E-1,-5.314538479E-1,3.960933685E-1,1.075103452E0
7.459221960E-1,-9.630485773E-1,-4.999837875E-1,6.861219406E-1,1.283826183E0
7.509221960E-1,-1.079384923E0,-4.908847809E-1,9.025640488E-1,1.490188425E0
7.559221960E-1,-1.145598054E0,-5.175611973E-1,1.014147758E0,1.615165679E0
7.609221960E-1,-1.188688636E0,-5.636408329E-1,1.018060684E0,1.663466026E0
7.659221960E-1,-1.222127080E0,-6.030852795E-1,9.639034271E-1,1.669256203E0
7.709221960E-1,-1.242716789E0,-6.219654083E-1,9.083080292E-1,1.660183563E0
7.759221960E-1,-1.235351920E0,-6.412482262E-1,8.535184860E-1,1.632723939E0
7.809221960E-1,-1.240571022E0,-6.552836895E-1,8.086633682E-1,1.619367042E0
7.859221960E-1,-1.242325664E0,-6.591191292E-1,7.731170654E-1,1.604843007E0
7.909221960E-1,-1.212233305E0,-6.424102783E-1,8.124389648E-1,1.594445867E0
7.959221960E-1,-1.148674250E0,-6.112062931E-1,9.047012329E-1,1.584774427E0
8.009221960E-1,-1.076288581E0,-5.973708630E-1,1.029804230E0,1.604913022E0
8.059221960E-1,-9.891325831E-1,-5.561754704E-1,1.139527321E0,1.608178142E0
8.109221960E-1,-9.101834297E-1,-5.506284237E-1,1.178322792E0,1.587472878E0
8.159221960E-1,-8.319136500E-1,-5.609717369E-1,1.131326675E0,1.512173818E0
8.209221960E-1,-7.418600321E-1,-5.723974705E-1,1.009280205E0,1.377186154E0
8.259221960E-1,-6.664481759E-1,-5.954139233E-1,8.540229797E-1,1.236133553E0
8.309221960E-1,-5.992013216E-1,-5.995454788E-1,7.171840668E-1,1.110337782E0
8.359221960E-1,-5.604947805E-1,-6.041254997E-1,6.026477814E-1,1.020934066E0
8.409221960E-1,-5.375224352E-1,-6.170294285E-1,5.211467743E-1,9.701802123E-1
8.459221960E-1,-5.263535380E-1,-6.101050377E-1,4.411268234E-1,9.186234693E-1
8.509221960E-1,-5.406900048E-1,-5.852458477E-1,3.394031525E-1,8.660559355E-1
8.559221960E-1,-5.559415221E-1,-5.349695683E-1,2.535791397E-1,8.121365618E-1
8.609221960E-1,-5.716269016E-1,-4.770922661E-1,1.733818054E-1,7.644838752E-1
8.659221960E-1,-5.472116470E-1,-4.277198315E-1,6.382369995E-2,6.974656304E-1
8.709221960E-1,-4.977268875E-1,-4.100773335E-1,-2.884483337E-2,6.455443426E-1
8.759221960E-1,-4.424001575E-1,-4.172728062E-1,-1.280126572E-1,6.214674042E-1
8.809221960E-1,-3.708343208E-1,-4.795987606E-1,-2.280616760E-1,6.477230834E-1
8.859221960E-1,-3.001160622E-1,-5.497479439E-1,-3.301124573E-1,7.080018976E-1
8.909221960E-1,-2.592509091E-1,-6.226282120E-1,-4.166269302E-1,7.927514889E-1
8.959221960E-1,-2.401076555E-1,-6.739971638E-1,-4.665699005E-1,8.541728953E-1
9.009221960E-1,-2.566020489E-1,-7.170922756E-1,-4.853496552E-1,9.031224895E-1
9.059221960E-1,-2.860136926E-1,-7.196407318E-1,-4.384346008E-1,8.898941029E-1
9.109221960E-1,-3.149651587E-1,-7.033209801E-1,-4.073467255E-1,8.716620945E-1
9.159221960E-1,-3.622247875E-1,-6.781404018E-1,-4.043931961E-1,8.686858226E-1
9.209221960E-1,-4.016905725E-1,-6.657340527E-1,-4.216499329E-1,8.845031435E-1
9.259221960E-1,-4.244610071E-1,-6.619195938E-1,-4.557971954E-1,9.088761074E-1
9.309221960E-1,-4.430516064E-1,-6.480107307E-1,-4.899339676E-1,9.253366553E-1
9.359221960E-1,-4.528908432E-1,-6.210691929E-1,-5.198822021E-1,9.279625867E-1
9.409221960E-1,-4.535588324E-1,-5.852961540E-1,-5.066423416E-1,8.972032460E-1
9.459221960E-1,-4.377604723E-1,-5.495827198E-1,-4.428834915E-1,8.305547448E-1
9.509221960E-1,-3.973441124E-1,-5.235311985E-1,-4.456920624E-1,7.941087293E-1
9.559221960E-1,-3.732270002E-1,-5.102634430E-1,-4.970169067E-1,8.041722331E-1
9.609221960E-1,-3.528612852E-1,-5.014188290E-1,-5.886869431E-1,8.499907326E-1
9.659221960E-1,-3.277715445E-1,-4.843549728E-1,-7.065763474E-1,9.172153835E-1
9.709221960E-1,-3.047770262E-1,-4.678378105E-1,-8.229465485E-1,9.944859347E-1
9.759221960E-1,-2.608881891E-1,-4.516839981E-1,-9.151639938E-1,1.053378478E0
9.809221960E-1,-2.150243223E-1,-4.111986160E-1,-9.789628983E-1,1.083368874E0
9.859221960E-1,-1.823487133E-1,-3.836975098E-1,-1.044943810E0,1.127999290E0
9.909221960E-1,-1.607316136E-1,-3.558211327E-1,-1.086286545E0,1.154323086E0
9.959221960E-1,-1.528815031E-1,-3.209919930E-1,-1.132835865E0,1.187318706E0
1.000922196E0,-1.720505953E-1,-2.557377815E-1,-1.169429302E0,1.209366823E0
1.005922196E0,-2.264426798E-1,-1.898870468E-1,-1.190530300E0,1.226660415E0
1.010922196E0,-2.931624651E-1,-1.169118881E-1,-1.187679768E0,1.228900261E0
1.015922196E0,-3.647672534E-1,-4.733419418E-2,-1.158472061E0,1.215464188E0
1.020922196E0,-4.068612158E-1,-5.031108856E-3,-1.131860256E0,1.202775540E0
1.025922196E0,-4.122530520E-1,8.274555206E-3,-1.117597103E0,1.191236472E0
1.030922196E0,-3.888173401E-1,1.211738586E-2,-1.096450329E0,1.163412686E0
1.035922196E0,-3.656075895E-1,2.416086197E-2,-1.105122089E0,1.164279816E0
1.040922196E0,-3.340887129E-1,4.146003723E-2,-1.121420860E0,1.170862481E0
1.045922196E0,-3.109746277E-1,5.163431168E-2,-1.142014503E0,1.184722941E0
1.050922196E0,-2.730845213E-1,6.996774673E-2,-1.172146797E0,1.205569888E0
1.055922196E0,-2.285951525E-1,9.699583054E-2,-1.151181221E0,1.177659602E0
1.060922196E0,-1.662006229E-1,1.305112839E-1,-1.112333775E0,1.132228894E0
1.065922196E0,-1.166659221E-1,1.448330879E-1,-1.084405422E0,1.100237556E0
1.070922196E0,-7.043505460E-2,1.605172157E-1,-1.046941757E0,1.061514916E0
1.075922196E0,-3.857781738E-2,1.939191818E-1,-9.982147217E-1,1.017607747E0
1.080922196E0,-2.113924921E-2,2.568235397E-1,-9.633674622E-1,9.972372163E-1
1.085922196E0,-1.964678615E-2,2.935042381E-1,-9.614801407E-1,1.005472424E0
1.090922196E0,-3.214214370E-2,3.387784958E-1,-9.715456963E-1,1.029419752E0
1.095922196E0,-6.130067259E-2,4.242439270E-1,-9.747643471E-1,1.064850325E0
1.100922196E0,-9.910757095E-2,5.384554863E-1,-9.558186531E-1,1.101519822E0
1.105922196E0,-1.513636559E-1,6.302175522E-1,-9.369359016E-1,1.139269065E0
1.110922196E0,-1.946636140E-1,7.039995193E-1,-9.243335724E-1,1.178092441E0
